[18:40:33] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x29 | FRAME: AA 02 29 81
[18:40:36] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x2C | FRAME: AA 02 2C 84
[18:40:39] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x2F | FRAME: AA 02 2F 87
[18:40:42] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x32 | FRAME: AA 02 32 9A
[18:40:46] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x35 | FRAME: AA 02 35 9D
[18:40:49] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x38 | FRAME: AA 02 38 90
[18:40:52] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x3B | FRAME: AA 02 3B 93
[18:40:55] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x3E | FRAME: AA 02 3E 96
[18:40:58] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x41 | FRAME: AA 02 41 E9
[18:41:01] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x44 | FRAME: AA 02 44 EC
[18:41:04] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x47 | FRAME: AA 02 47 EF
[18:41:07] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x4A | FRAME: AA 02 4A E2
[18:45:37] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x2C | FRAME: AA 02 2C 84
[18:45:40] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x2F | FRAME: AA 02 2F 87
[18:45:43] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x32 | FRAME: AA 02 32 9A
[18:45:46] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x35 | FRAME: AA 02 35 9D
[18:45:49] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x38 | FRAME: AA 02 38 90
[18:45:52] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x3B | FRAME: AA 02 3B 93
[18:45:55] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x3E | FRAME: AA 02 3E 96
[18:45:58] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x41 | FRAME: AA 02 41 E9
[18:46:01] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x44 | FRAME: AA 02 44 EC
[18:46:04] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x47 | FRAME: AA 02 47 EF
[18:46:07] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x4A | FRAME: AA 02 4A E2
[18:46:44] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x11 | FRAME: AA 02 11 B9
[18:46:47] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x14 | FRAME: AA 02 14 BC
[18:46:50] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x17 | FRAME: AA 02 17 BF
[18:46:53] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x1A | FRAME: AA 02 1A B2
[18:46:56] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x1D | FRAME: AA 02 1D B5
[18:46:59] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x20 | FRAME: AA 02 20 88
[18:47:02] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x23 | FRAME: AA 02 23 8B
[18:47:05] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x26 | FRAME: AA 02 26 8E
[18:47:08] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x29 | FRAME: AA 02 29 81
[18:47:11] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x2C | FRAME: AA 02 2C 84
[18:47:14] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x2F | FRAME: AA 02 2F 87
